Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220n,C_0603_1608Metric,112.95,-127.0,-90.0,top
C2,220n,C_0603_1608Metric,129.5,-127.5,-90.0,top
C3,10u,C_0603_1608Metric,103.5,-135.775,90.0,top
C4,10u,C_0603_1608Metric,125.725,-129.5,0.0,top
J1,Conn_02x08_Odd_Even,PinHeader_2x08_P2.54mm_Vertical,121.325,-117.265,90.0,bottom
J2,Conn_01x02_Pin,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,125.5,-135.45,0.0,top
R1,10k,R_0805_2012Metric,120.5,-112.0,90.0,top
R2,24k,R_0805_2012Metric,125.0,-112.0,-90.0,top
R3,1k,R_0805_2012Metric,117.4125,-134.0,180.0,top
R4,1k,R_0805_2012Metric,117.4125,-131.5,180.0,top
R5,3k,R_0805_2012Metric,103.5,-132.0,90.0,top
SW1,MS-22D28-G020,SW-SMD_MS-22D28-G020,136.0,-133.25,90.0,top
U1,DRV8837CDSGR,WSON-8_L2.0-W2.0-P0.50-TL-EP,129.5,-124.5,180.0,top
U2,DRV8837CDSGR,WSON-8_L2.0-W2.0-P0.50-TL-EP,112.95,-124.25,180.0,top
U3,TP4056,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,110.0,-133.0,-90.0,top
